round,train_rmse,val_rmse
73,13.73104334870094,18.45563738812937
74,13.718600325641921,18.448196818831995
75,13.706511696667848,18.43507441059924
76,13.69710044146916,18.429064031515008
77,13.683691570807595,18.41155162673894
78,13.67055442789475,18.406225128611403
79,13.660080945558711,18.39725693855204
80,13.646829597951001,18.39129200923818
81,13.637805932700582,18.39091682861889
82,13.626564585144187,18.38492687649121
83,13.616232509869137,18.37981446168788
84,13.60559360431529,18.37681909867392
85,13.595104524593538,18.363464166794948
86,13.585349850834605,18.353230922482595
87,13.574039630227158,18.349984726483036
88,13.565460777935144,18.34945269208163
89,13.558386403616392,18.34985538174333
90,13.549929870847972,18.338340481914184
91,13.542467164337191,18.330448061105358
92,13.532082347867822,18.3281795205892
93,13.522762960611566,18.320891708808407
94,13.513293440415154,18.321693698033947
95,13.503723481824455,18.316579858140912
96,13.494320426732484,18.314976848025193
97,13.486135847688839,18.31577949666736
98,13.47692512363878,18.29552362477137
99,13.469594880120109,18.290545886113268
100,13.461317848814044,18.28914599417016
101,13.455370428865844,18.28338268734381
102,13.444905393197443,18.26258871993033
103,13.436910757859591,18.260799154264703
104,13.428712031854472,18.25742489210484
105,13.421331646452495,18.261755843213194
106,13.413251001854784,18.26613893950062
107,13.407417790679812,18.264481477539434
108,13.400116210028228,18.259094302845114
109,13.393066929258016,18.2536384935168
110,13.387104335491241,18.251133882118296
111,13.378107411879837,18.24628685839092
112,13.373959167434787,18.244227813798606
113,13.36800594346859,18.241993365094594
114,13.360641393742025,18.244637398323274
115,13.352542540902647,18.243855551144375
116,13.34486381839445,18.24599051106173
117,13.33719014472481,18.239045381961315
118,13.333228212960062,18.235938084707264
119,13.325700176354765,18.23776664970408
120,13.319524142370156,18.233452760955984
121,13.31372667184911,18.231541647902915
122,13.308019262461709,18.229948498340185
123,13.300130000339461,18.225120895603766
124,13.29428546468289,18.225553508312966
125,13.288313939265818,18.229324017927365
126,13.28268032569221,18.222442019071003
127,13.278356092471922,18.21759221648738
128,13.271902686083626,18.210963536061783
129,13.26609549592437,18.216418151797463
130,13.260586052565262,18.217626975446507
131,13.253759933373717,18.218457715744048
132,13.247508015260548,18.214042622375295
133,13.241693375742708,18.215448536812982
134,13.235062435377131,18.206325270047845
135,13.22621046645525,18.208518482156986
136,13.219527159147434,18.19382083252277
137,13.213921341325877,18.19521970541091
138,13.20888873401362,18.19088365812151
139,13.201932690175427,18.18576610394181
140,13.196377948367818,18.18848368832995
141,13.19015960180133,18.192584497836854
142,13.1841686836679,18.193554910217372
143,13.176405554353492,18.192532035149362
144,13.171689754788028,18.19105487288937
145,13.165278323275778,18.190654000632332
146,13.159059378759869,18.18824397105865
147,13.153261530907262,18.190502706375813
148,13.147519249811838,18.187037685486118
149,13.140730501827031,18.184479746863556
150,13.131348530411028,18.182995859121533
151,13.126438666088251,18.186941848496886
152,13.120830795701723,18.191055128716975
153,13.115205924967583,18.197374779007223
154,13.109584726155532,18.192545322064746
155,13.103959523880224,18.190287948771328
156,13.098690499959437,18.191495542350275
157,13.09271524957525,18.190266132786405
158,13.08739658990652,18.187004406786915
159,13.083288526097938,18.18773980617377
160,13.078470302398827,18.186333612969943
161,13.07307040104031,18.186667523941555
162,13.067771456894867,18.18697145524774
163,13.06400834590713,18.18730091191575
164,13.058896010302606,18.184586891733478
165,13.053088216972467,18.17899613787155
