round,train_rows,train_rmse_ug_m3,val_rmse_ug_m3
166,68829,13.049513058768586,18.17676386316906
167,68829,13.039387574074269,18.17955568273955
168,68829,13.033448532145195,18.18268525125673
169,68829,13.024778519111038,18.185173731659688
170,68829,13.019497099856624,18.17485400146013
171,68829,13.011725112976974,18.16153094620196
172,68829,13.007628084056533,18.159075655683463
173,68829,13.001550709071736,18.163423510337903
174,68829,12.995888496523154,18.16908018141776
175,68829,12.989340054135674,18.167219150928528
176,68829,12.984530978513964,18.169631699544283
177,68829,12.979258423359363,18.17571610542699
178,68829,12.97548152104531,18.17364383570282
179,68829,12.97017757392907,18.158198732685666
180,68829,12.96557610058558,18.160397712674385
181,68829,12.960648518355848,18.16227494897324
182,68829,12.953868293981616,18.15818737213204
183,68829,12.949009511607112,18.16128034930115
184,68829,12.9435992728459,18.168072995449624
185,68829,12.9403586815303,18.171482392506853
186,68829,12.93531331079383,18.167206717191355
187,68829,12.930327863061509,18.164137659705787
188,68829,12.926000935144398,18.164217951092525
189,68829,12.921499620362646,18.15618427513612
190,68829,12.911366801956518,18.167687460086647
191,68829,12.90414562764264,18.16866530643737
192,68829,12.898980492655074,18.16928423567752
193,68829,12.895242612483084,18.169794715350022
194,68829,12.890069164734244,18.1678478177822
195,68829,12.885401064748647,18.168198947888115
196,68829,12.880808772733108,18.165779616147837
197,68829,12.875854225036663,18.16314385375184
198,68829,12.87138931803063,18.16167803615418
199,68829,12.866314260046328,18.15572803333396
200,68829,12.86273670679254,18.158073428000257
201,68829,12.857841382787017,18.160288392086887
202,68829,12.85316987167227,18.162193669089667
203,68829,12.849281178260595,18.16195404312013
204,68829,12.84372952691865,18.172740674464297
205,68829,12.839003122748553,18.17135361302296
206,68829,12.834423643180582,18.170006553754583
207,68829,12.83021289680276,18.172764993590736
208,68829,12.826555327060415,18.172741204767448
209,68829,12.822610264435662,18.17094997015396
210,68829,12.818226299559496,18.165606408511405
211,68829,12.81549798801086,18.1659569954168
212,68829,12.80802166378831,18.170882170660903
213,68829,12.80330583975608,18.17445176070741
214,68829,12.798475493480977,18.176124050595533
215,68829,12.793282373877718,18.172865344509823
216,68829,12.789559023234483,18.176453922752653
217,68829,12.78522527722119,18.17464687626326
218,68829,12.779874634815634,18.175481169578383
219,68829,12.7738767295984,18.17434972953264
220,68829,12.769553365461263,18.17709699022434
221,68829,12.763376654183263,18.161454308769056
222,68829,12.760796211329485,18.16246892957757
223,68829,12.754223801012644,18.168838065573905
224,68829,12.750902724178108,18.168220523049897
225,68829,12.7466612571949,18.175769624622028
226,68829,12.742392888604789,18.1759330838535
227,68829,12.737802644647566,18.17504003067448
228,68829,12.734062747546336,18.172492360465966
229,68829,12.730867049023058,18.172078072446457
230,68829,12.72637964340287,18.169708142896965
231,68829,12.722482219196566,18.171214654181288
232,68829,12.71841129751714,18.17893904658631
233,68829,12.71416524807411,18.183986412985817
234,68829,12.710647791284511,18.18361411341096
235,68829,12.706584963827456,18.186518257362213
236,68829,12.70452525991941,18.186488037091877
237,68829,12.7009429216939,18.186572714630877
238,68829,12.694163111885036,18.19326008939242
239,68829,12.689791387836731,18.194956913778803
240,68829,12.68608008636332,18.19472369950614
241,68829,12.680868265487096,18.194466981808564
242,68829,12.67774741651096,18.193956239026424
243,68829,12.671918128437232,18.195363860147268
244,68829,12.667480550312188,18.193053518548165
