city,horizon,rows,mean_residual_ug_m3,median_residual_ug_m3,mae_ug_m3,p90_abs_error_ug_m3
TP.HCM,1,4893,0.24971746500835043,0.24821319580077983,1.912295193850519,4.477166519165044
TP.HCM,2,4893,0.35535061388154143,0.5445415496826165,3.357597795751912,7.945387420654296
TP.HCM,3,4893,0.37175373443425774,0.6083824157714837,4.619030666507244,10.435747833251966
TP.HCM,4,4893,0.5203436277893554,0.982989883422853,5.5921033331058085,12.273901062011719
TP.HCM,5,4893,0.612804552842668,1.3975059509277301,6.431139081517977,13.930949401855472
TP.HCM,6,4893,0.5989529243452089,1.4824554443359368,6.847942589027565,14.811235198974611
TP.HCM,7,4893,0.6244064294412389,1.5276855468749986,7.158200064900217,15.806038055419922
TP.HCM,8,4893,0.46533464544418285,1.412025833129885,7.369437255991912,16.19001739501953
TP.HCM,9,4893,0.49615391768879047,1.5514717102050817,7.523412400317197,16.27626144409179
TP.HCM,10,4893,0.2706787955656195,1.3605163574218722,7.657177581997607,16.35910751342774
TP.HCM,11,4893,0.3674543456750587,1.376666641235353,7.63163249274838,16.289150390625004
TP.HCM,12,4893,0.2324041793420958,1.511464309692382,7.588112575126381,16.194993286132817
TP.HCM,13,4893,0.4018520698258904,1.9094745635986357,7.7197053345244235,16.09854911804199
TP.HCM,14,4893,0.6662595817508227,2.493044662475583,7.91719206301878,16.088307647705076
TP.HCM,15,4893,0.7915757559131754,2.6543449401855472,7.977477709842123,15.932986373901366
TP.HCM,16,4893,0.6434616691516072,2.457984161376956,7.83203097604034,15.968326416015628
TP.HCM,17,4893,0.8817431656685243,2.77947998046875,7.905712950500076,15.60693115234375
TP.HCM,18,4893,0.763058236038517,2.5784782409667972,7.751482036277947,15.473505020141609
TP.HCM,19,4893,0.5821946589463869,2.34603309631348,7.7195507832692245,15.555906982421874
TP.HCM,20,4893,0.9197187114195569,2.774522399902345,7.825493510145121,15.65096824645996
TP.HCM,21,4893,0.5359346641978676,2.3041072845459,7.598599498568687,15.514583892822268
TP.HCM,22,4893,0.48276271508219015,2.2455450057983395,7.62930948092556,15.660115966796877
TP.HCM,23,4893,0.5106263043956963,2.114368438720703,7.437681016506847,15.2840397644043
TP.HCM,24,4893,0.6110551323063312,2.0909103393554673,7.379791693781969,15.46383285522461
Đà Nẵng,1,4893,0.1551735372697311,0.1295175552368164,1.2319925544161068,2.898348541259764
Đà Nẵng,2,4893,0.11643704118208241,0.32017192840576136,2.034607245974226,4.29707611083985
Đà Nẵng,3,4893,0.2512445345262115,0.603818511962892,2.786715735323025,5.968106269836427
Đà Nẵng,4,4893,0.42925665938437607,0.6923957824707045,3.362938351390456,7.124324722290041
Đà Nẵng,5,4893,0.6212761376987274,0.9673524856567379,3.8237631596940047,8.078741683959963
Đà Nẵng,6,4893,0.7232521970067901,1.2727445602416996,4.1924588420360385,8.903383560180666
Đà Nẵng,7,4893,0.7284160641300491,1.3989082336425778,4.415900520349655,9.362262229919443
Đà Nẵng,8,4893,0.9144064687888316,1.4908000946044915,4.620413421234811,9.793317413330078
Đà Nẵng,9,4893,0.8829297314629633,1.5067241668701215,4.724804725311735,9.917976531982422
Đà Nẵng,10,4893,0.8349735494676408,1.5142993927001953,4.8794926100558795,10.045707550048832
Đà Nẵng,11,4893,0.9586645940659408,1.591212463378902,4.99642977111305,10.379101486206057
Đà Nẵng,12,4893,1.0495170649784415,1.7879699707031254,5.104474228680219,10.12719909667969
Đà Nẵng,13,4893,1.1711270411858012,1.9090251922607457,5.1434689635224755,10.282813949584966
Đà Nẵng,14,4893,1.4568192203279267,2.090675735473633,5.268586326741793,10.771179809570315
Đà Nẵng,15,4893,1.4895961700274174,2.002219009399411,5.397943072004257,11.178363952636724
Đà Nẵng,16,4893,1.4585585803701033,2.0991886138916023,5.303549944840397,11.009722747802737
Đà Nẵng,17,4893,1.6348459727140918,2.082489013671875,5.305516014395378,11.082721633911135
Đà Nẵng,18,4893,1.6301361416103943,2.152218627929688,5.229209962973876,10.620989532470704
Đà Nẵng,19,4893,1.3485974716648061,1.9900856018066406,5.119017072974259,10.453824310302736
