model,cv_fold,horizon,rmse_ug_m3,mae_ug_m3,r2,bias_ug_m3
SARIMAX,1,20,23.666548862844092,14.098711112874733,0.338404008823742,-3.244127162625634
SARIMAX,1,21,23.75267226830618,14.139011923574799,0.3335230268396232,-3.35623279120575
SARIMAX,1,22,23.84686736130004,14.203570347233603,0.32814765370163146,-3.464069260791666
SARIMAX,1,23,23.942488052983308,14.250740039398472,0.3226720612803857,-3.570005634765914
SARIMAX,1,24,24.022104494538045,14.296704164625613,0.31809954564656917,-3.6754857757548223
SARIMAX,2,1,5.376540086410436,3.3912614367857556,0.9354874986574975,-0.25576366649370535
SARIMAX,2,2,8.700405442369956,5.732395130282682,0.83189385240349,-0.5022101851296159
SARIMAX,2,3,11.256636788602883,7.532763335945204,0.7201321798620277,-0.7356250274319771
SARIMAX,2,4,13.222971345922714,8.943085987116033,0.6153377161249396,-0.9503368742787476
SARIMAX,2,5,14.759669400479451,10.023508749511858,0.5216949254631056,-1.1450419552783864
SARIMAX,2,6,15.940998153839693,10.851412948294621,0.4428229741141536,-1.3264764209750493
SARIMAX,2,7,16.91576769238959,11.561120465079794,0.37423260545790404,-1.5050687123278428
SARIMAX,2,8,17.690768320976005,12.084801620724003,0.3168342319968993,-1.6779755289036489
SARIMAX,2,9,18.279422855070205,12.491440862822182,0.27178140979550147,-1.8422349766945438
SARIMAX,2,10,18.691976637092395,12.73054512600325,0.23960309282235726,-1.9967399020899734
SARIMAX,2,11,18.953305800775592,12.848232068190125,0.21952218676841795,-2.1409526105264645
SARIMAX,2,12,19.08814761714504,12.904578350618866,0.20851732981992033,-2.2650404618172546
SARIMAX,2,13,19.11620808211198,12.872634803208117,0.2059674131519348,-2.378355970156345
SARIMAX,2,14,19.069214741843428,12.773436604942956,0.20958685569970426,-2.4817200956124794
SARIMAX,2,15,18.968244015744833,12.639820257756533,0.21757766600861916,-2.5803652504602264
SARIMAX,2,16,18.85616457214327,12.47025312153996,0.2263527490945504,-2.678470470091169
SARIMAX,2,17,18.74100351587914,12.331733577730262,0.23528491544870356,-2.776751231167705
SARIMAX,2,18,18.614657149846735,12.209918728565421,0.24504600855771286,-2.8693049191751467
SARIMAX,2,19,18.474667652695796,12.074312528016328,0.25605544715790485,-2.9505049843954536
SARIMAX,2,20,18.357563304845673,11.965348162252239,0.26529882209618527,-3.0264439861745314
SARIMAX,2,21,18.25538472454256,11.884955467442444,0.273522833190896,-3.097532665131236
SARIMAX,2,22,18.17108217409185,11.844173339831896,0.28045120826442627,-3.16592017751572
SARIMAX,2,23,18.104863865302054,11.846808947964522,0.28601206807785184,-3.231194939969517
SARIMAX,2,24,18.044656393655785,11.867039351975732,0.29123289111336637,-3.294552685542061
SARIMAX,3,1,5.55438806687134,3.3788471267606184,0.9427153866808593,-0.24348080985013737
SARIMAX,3,2,9.039410843344934,5.763500221953007,0.8477493424392731,-0.4655158042807717
SARIMAX,3,3,11.641637271450557,7.593925181442678,0.7464602386909085,-0.6731201627224008
SARIMAX,3,4,13.627737965218236,8.970023061892073,0.6515016358800217,-0.8718684148860995
SARIMAX,3,5,15.148343220818079,10.053840023433514,0.568730197073378,-1.0669925511213012
SARIMAX,3,6,16.31357254758392,10.864864614475845,0.49950445855068004,-1.251813798466813
SARIMAX,3,7,17.192890221159008,11.491083244308717,0.4439670291190174,-1.4263515452740734
SARIMAX,3,8,17.849268386727356,11.955862840417131,0.4012560951730526,-1.5948395938389845
SARIMAX,3,9,18.32891621180499,12.307586118296058,0.36979468804309024,-1.756719981698009
SARIMAX,3,10,18.635159712200995,12.519992180396965,0.35002601189478033,-1.9111716770474365
SARIMAX,3,11,18.817294982208043,12.630810568366085,0.338870894318146,-2.0567876026633587
SARIMAX,3,12,18.844704475125713,12.606517324573147,0.339952151067906,-2.2076075288047448
SARIMAX,3,13,18.695958922349377,12.434018522907477,0.35476853654878593,-2.361717434184602
SARIMAX,3,14,18.478180962655053,12.21229664188444,0.3740288020018466,-2.510882240581587
SARIMAX,3,15,18.230059656298096,11.954276162432741,0.3951067035797512,-2.6536619213862784
SARIMAX,3,16,17.943630331653125,11.663854988751627,0.41814942177712444,-2.7849987186350265
SARIMAX,3,17,17.626939421459557,11.375081218404766,0.4408098213794399,-2.8963681645052164
SARIMAX,3,18,17.305667806526003,11.0575333117474,0.4621252313194355,-2.9996277869705614
SARIMAX,3,19,16.99603417273835,10.757496981398432,0.481734054732209,-3.090946628880135
SARIMAX,3,20,16.72596438166638,10.514949698342555,0.4984150112974288,-3.1742567526300465
SARIMAX,3,21,16.527382771185824,10.355967452058872,0.5104849495786377,-3.2534614880787767
SARIMAX,3,22,16.412058458802143,10.300754208911227,0.5174173015477692,-3.326742826034321
SARIMAX,3,23,16.3809532646913,10.346206862649481,0.5192859068130948,-3.393599046229947
SARIMAX,3,24,16.43113886233769,10.467286101746422,0.5162599835003996,-3.453277049937631
SARIMAX,4,1,4.931117063634956,2.945663074332145,0.9613020013953121,-0.0874862191859398
SARIMAX,4,2,8.096893413331635,5.007930696764635,0.8956518661325636,-0.1699148022714725
SARIMAX,4,3,10.632726526025605,6.6490112434091015,0.8200153627664062,-0.24623665510442258
SARIMAX,4,4,12.671532264102966,7.961332715956415,0.7442832488153215,-0.31996851172497087
SARIMAX,4,5,14.335532216789746,8.999284212026703,0.672454110683669,-0.3859965211072994
SARIMAX,4,6,15.647723825066961,9.771875228641818,0.6092727728393044,-0.45089912987365566
SARIMAX,4,7,16.673456430817502,10.378902575311953,0.5557631787153487,-0.5121189715947481
SARIMAX,4,8,17.4737190206427,10.839419209194215,0.5111785394994062,-0.5708466244905168
SARIMAX,4,9,18.11518019787019,11.224499035378697,0.47329759634872814,-0.6253859945791641
SARIMAX,4,10,18.61595520413578,11.50936262740886,0.442316456802737,-0.6811276494707906
SARIMAX,4,11,18.962350689210734,11.682819621648122,0.419779366534892,-0.7411408069933498
SARIMAX,4,12,19.196829077252406,11.816746262590557,0.40315915298848626,-0.7986504486035915
SARIMAX,4,13,19.352514055266422,11.900129740686287,0.3900024729389471,-0.8473895439230558
SARIMAX,4,14,19.41555645691108,11.911593105603131,0.3823424056582252,-0.8923680663770998
SARIMAX,4,15,19.398891716296085,11.864803008191462,0.3793261745512274,-0.9333184843672228
SARIMAX,4,16,19.337295594122363,11.761672232616274,0.37911399756782893,-0.9738249803128449
SARIMAX,4,17,19.261442990106318,11.655566633046927,0.3816553633473273,-1.0231943972622077
SARIMAX,4,18,19.17539137663614,11.54082147053647,0.38618655948263114,-1.0749145613308317
SARIMAX,4,19,19.07608943592263,11.409272211904282,0.39241938875266036,-1.1354768964422235
SARIMAX,4,20,18.979812388143824,11.276595637638806,0.39890324201294647,-1.2010457153092267
SARIMAX,4,21,18.889936140704584,11.15107441035665,0.40514584868696,-1.2647774966007883
SARIMAX,4,22,18.821944525627483,11.086204868812674,0.40994697499760213,-1.3254640279831622
SARIMAX,4,23,18.789393953754093,11.066787406791274,0.41243543063252974,-1.383039791423333
SARIMAX,4,24,18.771730326268994,11.071780554357712,0.4134567121193157,-1.4271594081520738
SARIMAX,5,1,5.678111808810153,3.0642828981385066,0.9493869475355344,-0.02314068282204145
SARIMAX,5,2,9.402348844298857,5.224959432814307,0.861236516320662,-0.045642696586089666
SARIMAX,5,3,12.222701958972486,6.931586954407747,0.7655405907728995,-0.06702700879788033
SARIMAX,5,4,14.417752457367614,8.286806925366356,0.6738369115644447,-0.08507517509674331
SARIMAX,5,5,16.155829954589322,9.340350900462772,0.5905927073761968,-0.10639177046814959
SARIMAX,5,6,17.53659778060477,10.206641450634015,0.5176572148926748,-0.12167455714316315
SARIMAX,5,7,18.633064505545075,10.9475821073388,0.4554283024699711,-0.133166678431107
SARIMAX,5,8,19.524053110294027,11.580501344658117,0.4020635457406774,-0.14095032294471155
SARIMAX,5,9,20.212551358907305,12.06586397604867,0.35906356897207614,-0.14620556821705694
SARIMAX,5,10,20.698597181331763,12.365099918708312,0.32764569742556604,-0.14567056519009394
SARIMAX,5,11,20.997074773113777,12.582663924768493,0.30764487672161445,-0.13767558078925057
SARIMAX,5,12,21.133035195302607,12.704421177066552,0.29824520509145935,-0.12634843819275549
SARIMAX,5,13,21.207697515480316,12.794385520164065,0.2929579679072023,-0.113896594998472
SARIMAX,5,14,21.219589740278572,12.810895150418393,0.29199046394075323,-0.10218154182881739
SARIMAX,5,15,21.131352997184944,12.709206316344817,0.29782533077775186,-0.0924058245276647
SARIMAX,5,16,20.952493566889306,12.545569261369659,0.30974530310293813,-0.08851135701760632
