round,train_rmse,val_rmse
121,13.325225397045642,18.151116886362306
122,13.31670162669277,18.15361078269428
123,13.310420000326802,18.15754870873743
124,13.303969946710565,18.160861682743853
125,13.29644378763357,18.153941600328857
126,13.290926581224385,18.15030179162192
127,13.283667494332738,18.151398618268992
128,13.276870050341095,18.148290725784808
129,13.269117125864554,18.15185996049532
130,13.26456269617062,18.150135008982772
131,13.257665253504987,18.150822714698815
132,13.250893532647979,18.15220534660251
133,13.244701092821463,18.15140496894889
134,13.237957707919682,18.141591323753275
135,13.226192291616591,18.14913411075344
136,13.218993559216685,18.14957802429979
137,13.2111587382283,18.14901638360723
138,13.205258059623866,18.145438960205627
139,13.199386040560363,18.13843949554653
140,13.194866755390404,18.13793881150198
141,13.188391938834677,18.14345463806625
142,13.180087328264241,18.129244395567156
143,13.173798377544125,18.128489084940107
144,13.169797389750382,18.127479597215313
145,13.16348419676211,18.13468463102104
146,13.157621113382435,18.13376089639554
147,13.15089336888936,18.132303984157673
148,13.145449539190492,18.13237615655998
149,13.137615135853222,18.12825958277897
150,13.133289252114828,18.127255116153922
151,13.127896034054602,18.12602000458436
152,13.12348983756514,18.124401043491474
153,13.117043932956472,18.12930924942911
154,13.110674901570755,18.123999214008855
155,13.106147994393622,18.119858785614603
156,13.100907266851602,18.123235439203448
157,13.093937668897762,18.123253810082517
158,13.088344081353478,18.120153490723016
159,13.082920031903923,18.119787723065745
160,13.078294065770256,18.118838960039827
161,13.071743824007195,18.10982225104304
162,13.066845914912511,18.107017755917507
163,13.063270104987739,18.10842534805822
164,13.058336346162138,18.107190856749686
165,13.053348778646368,18.10727427759756
166,13.047803242953293,18.102171009532015
167,13.043489478770585,18.102304757002262
168,13.03992968392692,18.101671195934433
169,13.031040286299875,18.10518423565229
170,13.024449029046401,18.108840691860063
171,13.019108306805197,18.101980683156743
172,13.014198018329525,18.098867918420467
173,13.006863079984829,18.10222214097889
174,13.00125185383026,18.107581737302503
175,12.995082574549091,18.107968921276598
176,12.991211350847369,18.10628295089318
177,12.985126511377471,18.10730788983011
178,12.979606079317183,18.11117927076249
179,12.974291653916486,18.10682036757546
180,12.967168254982294,18.108745751422084
181,12.962409898542376,18.110115395947926
182,12.957077318061952,18.10483961261524
183,12.950618643937512,18.108249083204353
184,12.94593042906826,18.106736836161637
185,12.941415882020442,18.10619712738453
186,12.936789507003361,18.102600022517958
187,12.932206274294497,18.099606230158916
188,12.927453615843158,18.100889925530794
189,12.922513850419733,18.097716828381458
190,12.91278686609996,18.109172089148494
191,12.907378000211091,18.10974085429574
192,12.902295768791094,18.10478140304622
193,12.898535906854699,18.10762754806255
194,12.8893240684993,18.11821190608196
195,12.884743723132189,18.12093297632461
196,12.880126190431158,18.118565816031417
197,12.875793954669577,18.11774667959219
198,12.87274200001742,18.119116619430095
199,12.867483416452217,18.11187418768469
200,12.862263129659004,18.10321677371659
201,12.859144959584725,18.103393425575344
202,12.852655994726737,18.108273355376657
203,12.845335124373465,18.11520306513189
204,12.840648158141201,18.11834433443599
205,12.835835615941432,18.116882008386675
206,12.832084697929252,18.11575291882054
207,12.828025812617778,18.11981556451102
208,12.823863323499491,18.120443174101013
209,12.818299232303007,18.12470590582652
210,12.811700884707351,18.122981555014082
211,12.807639046522473,18.120274604913103
212,12.803797896535904,18.119863314006707
213,12.798968267927798,18.11835014432805
214,12.795208268844187,18.115341235379987
215,12.790081208848699,18.111940946606385
216,12.785139789597824,18.117108705744748
217,12.781341479774543,18.11607510025876
218,12.776455787582996,18.107195440596684
219,12.772713412838407,18.109811928176974
220,12.768659587486054,18.11078181094898
221,12.763551982931611,18.095191642394337
222,12.760098938635206,18.095562497970676
223,12.75556543462841,18.100710426261564
224,12.75242127144062,18.102681609516356
225,12.748491939572414,18.10964833876288
226,12.74465466625899,18.108745790940354
227,12.738867448204662,18.107315030427678
228,12.735257307974962,18.105628439379206
229,12.731554044106284,18.10706991163813
230,12.727374766440159,18.10176894781203
231,12.723748926594867,18.10301944153289
232,12.720719817303015,18.106511406035413
233,12.715390514680065,18.110794808627546
234,12.711206748780347,18.10818064315689
235,12.707480469755115,18.109653359957505
236,12.70431778638454,18.107259388664488
237,12.700010845610795,18.11021471942194
238,12.693749839367262,18.11577905941111
239,12.690466962624768,18.11589554472352
240,12.687205862991199,18.11594467517551
241,12.681879832488011,18.11735017237208
242,12.676997326508786,18.120776810751877
243,12.672718141363923,18.121162339080772
244,12.664873202557217,18.10901717549004
245,12.659571660103113,18.114196061560012
246,12.656382726386427,18.114490734099295
247,12.652577822588876,18.112593562682314
248,12.648182042828104,18.114413367546874
249,12.644565627045585,18.112864867137954
250,12.638487766271577,18.118124862833834
251,12.63639362363317,18.12178137171595
252,12.633656360841751,18.121665522225694
253,12.627281693055066,18.12386976626759
254,12.624420121500869,18.125982216824653
255,12.620780098722125,18.126027187750168
256,12.616061632943092,18.127505527442
257,12.612609337332522,18.12795246059303
258,12.61043403859115,18.12610123133969
259,12.604748135785982,18.126402899216238
260,12.598778547863086,18.135421424940805
261,12.592513835080691,18.13629263729191
262,12.589083790047258,18.137083332899596
263,12.585148801672009,18.138471532538848
264,12.582039366099195,18.139203158319013
265,12.578541801431701,18.136556891117497
266,12.572794545335967,18.14401673277305
