round,train_rows,train_rmse_ug_m3,val_rmse_ug_m3
131,68829,13.257665253504989,18.150822714698812
132,68829,13.25089353264798,18.15220534660251
133,68829,13.244701092821463,18.15140496894889
134,68829,13.237957707919682,18.141591323753275
135,68829,13.226192291616591,18.14913411075344
136,68829,13.218993559216685,18.14957802429979
137,68829,13.2111587382283,18.14901638360723
138,68829,13.205258059623866,18.145438960205627
139,68829,13.199386040560364,18.13843949554653
140,68829,13.194866755390404,18.13793881150198
141,68829,13.188391938834677,18.14345463806625
142,68829,13.18008732826424,18.12924439556716
143,68829,13.173798377544124,18.128489084940107
144,68829,13.169797389750382,18.127479597215316
145,68829,13.16348419676211,18.13468463102104
146,68829,13.157621113382437,18.13376089639554
147,68829,13.15089336888936,18.132303984157677
148,68829,13.145449539190492,18.13237615655998
149,68829,13.137615135853222,18.12825958277897
150,68829,13.133289252114828,18.12725511615392
151,68829,13.127896034054602,18.12602000458436
152,68829,13.12348983756514,18.124401043491478
153,68829,13.117043932956472,18.12930924942911
154,68829,13.110674901570755,18.12399921400885
155,68829,13.106147994393622,18.119858785614603
156,68829,13.100907266851602,18.123235439203448
157,68829,13.093937668897762,18.12325381008252
158,68829,13.088344081353478,18.120153490723016
159,68829,13.082920031903924,18.119787723065745
160,68829,13.078294065770256,18.118838960039827
161,68829,13.071743824007196,18.10982225104304
162,68829,13.066845914912513,18.107017755917507
163,68829,13.06327010498774,18.10842534805822
164,68829,13.058336346162138,18.10719085674969
165,68829,13.053348778646368,18.10727427759756
166,68829,13.047803242953291,18.10217100953201
167,68829,13.043489478770583,18.102304757002265
168,68829,13.03992968392692,18.101671195934436
169,68829,13.031040286299875,18.10518423565229
170,68829,13.0244490290464,18.108840691860063
171,68829,13.019108306805196,18.101980683156743
172,68829,13.014198018329523,18.098867918420467
173,68829,13.006863079984829,18.10222214097889
174,68829,13.00125185383026,18.107581737302503
175,68829,12.995082574549093,18.1079689212766
176,68829,12.991211350847369,18.10628295089318
177,68829,12.985126511377471,18.10730788983011
178,68829,12.979606079317184,18.11117927076249
179,68829,12.974291653916486,18.10682036757546
180,68829,12.967168254982294,18.108745751422084
181,68829,12.962409898542376,18.11011539594793
182,68829,12.957077318061952,18.10483961261524
183,68829,12.950618643937512,18.108249083204356
184,68829,12.94593042906826,18.10673683616164
185,68829,12.941415882020442,18.10619712738453
186,68829,12.93678950700336,18.10260002251796
187,68829,12.932206274294495,18.09960623015892
188,68829,12.927453615843158,18.100889925530797
189,68829,12.922513850419731,18.097716828381454
190,68829,12.91278686609996,18.10917208914849
191,68829,12.907378000211091,18.10974085429574
192,68829,12.902295768791094,18.10478140304622
193,68829,12.8985359068547,18.10762754806255
194,68829,12.8893240684993,18.11821190608196
195,68829,12.884743723132187,18.12093297632461
196,68829,12.880126190431158,18.118565816031417
197,68829,12.875793954669575,18.11774667959219
198,68829,12.87274200001742,18.11911661943009
199,68829,12.867483416452217,18.11187418768469
200,68829,12.862263129659004,18.10321677371659
201,68829,12.859144959584723,18.103393425575344
202,68829,12.852655994726735,18.108273355376657
203,68829,12.845335124373465,18.11520306513189
204,68829,12.8406481581412,18.11834433443599
205,68829,12.835835615941432,18.116882008386675
206,68829,12.832084697929252,18.11575291882054
207,68829,12.828025812617778,18.11981556451102
208,68829,12.823863323499491,18.120443174101013
209,68829,12.818299232303008,18.12470590582652
210,68829,12.811700884707353,18.12298155501408
211,68829,12.807639046522471,18.120274604913103
212,68829,12.803797896535904,18.119863314006707
213,68829,12.798968267927798,18.11835014432805
214,68829,12.795208268844188,18.115341235379987
215,68829,12.7900812088487,18.111940946606385
216,68829,12.785139789597824,18.117108705744748
217,68829,12.781341479774545,18.11607510025876
218,68829,12.776455787582996,18.107195440596684
