datetime,pm25,pm10,o3,no2,so2,co,city,temp,humidity,wind_speed,wind_dir,precip,pressure,cloud_cover,factories_2km,factories_5km,factories_10km,month,hour,day_of_week,is_weekend,day_of_year,season,pm25_lag_1h,pm25_lag_3h,pm25_lag_6h,pm25_lag_12h,pm25_lag_24h,pm25_roll_6h,pm25_roll_24h,pm25_roll_72h,pm25_lag_48h,pm25_lag_72h,pm25_lag_96h,pm25_lag_120h,pm25_lag_144h,pm25_lag_168h,pm25_std_6h,pm25_roll_12h,pm25_std_12h,pm25_std_24h,pm25_std_72h,pm25_roll_168h,pm25_std_168h,pm25_min_24h,pm25_max_24h,pm25_delta_1h,pm25_delta_3h,pm25_delta_24h,pm25_roll_ratio_6h_24h,pm25_roll_ratio_24h_72h,pm25_same_hour_mean_7d,pm25_same_hour_median_7d,pm25_same_hour_std_7d,pm25_same_hour_min_7d,pm25_same_hour_max_7d,pm25_same_hour_ratio_7d,pm25_weekly_delta,wind_x,wind_y,ventilation_index,humid_stagnation,rain_flag,calm_wind,high_humidity,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,pm25_pm10_ratio,no2_co_ratio,factory_density_2km,factory_density_5km,factory_density_10km
2026-04-26 05:00:00,117.8,122.0,19.0,58.7,28.2,727.0,Hà Nội,23.25,95.84887,5.2478566,120.96369,0.0,1010.43494,100.0,3,57,179,4,5,6,1,116,Xuân,104.3,87.5,96.6,61.9,181.6,95.76666666666664,92.15,82.29027777777779,87.8,20.0,35.7,34.2,50.1,80.3,13.214184298199342,102.03333333333336,12.741652050249844,34.81280374155237,49.034983659189365,63.92857142857143,37.88177502947919,47.4,186.7,13.5,30.3,-63.8,1.0392476035449447,1.119816368208746,75.3142857142857,50.1,58.04120457546887,20.0,181.6,1.5641122913505314,37.5,0.8574935231463622,-0.5144947597031861,0.2178453496795797,15.34108033145319,0,0,1,0.9659258262890684,0.2588190451025207,0.9111686353326632,-0.4120336369594263,0.8660254037844387,-0.4999999999999998,0.9655737704918032,0.0807427785419532,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-26 06:00:00,119.7,124.8,25.0,50.9,27.5,855.0,Hà Nội,23.2,97.01811,4.379589,99.46225,0.0,1011.2337,100.0,3,57,179,4,6,6,1,116,Xuân,117.8,95.5,86.1,97.3,186.7,101.36666666666667,89.35833333333333,83.77916666666667,66.4,12.5,41.1,33.6,47.6,82.2,15.259576228283576,103.9,13.59725908208667,29.122438930751954,48.51073625178394,64.15178571428571,38.09993630562539,47.4,155.1,1.9000000000000057,24.200000000000003,-66.99999999999999,1.134384034318754,1.0665937235788532,72.51428571428572,47.6,60.58859707270086,12.5,186.7,1.650709219858156,37.5,0.9863941310181094,-0.1643977441847328,0.1305945264321003,18.034483675239876,0,0,1,1.0,6.123233995736766e-17,0.9111686353326632,-0.4120336369594263,0.8660254037844387,-0.4999999999999998,0.9591346153846154,0.05953216374269,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-26 07:00:00,76.8,80.1,31.0,44.2,26.3,918.0,Hà Nội,23.55,95.2788,7.0568266,95.85592,0.0,1011.83435,95.0,3,57,179,4,7,6,1,116,Xuân,119.7,104.3,83.4,111.8,155.1,100.26666666666668,86.09583333333332,84.7125,65.7,9.6,46.3,34.8,48.7,94.1,16.957201026902805,100.98333333333336,15.38492965879281,25.61162234758615,47.70318127254334,64.04880952380952,38.04184268646104,47.4,119.7,-42.900000000000006,-27.5,-78.3,1.1645937182403332,1.0163297427573654,62.42857142857143,48.7,46.20251487692397,9.6,155.1,1.2302059496567506,-17.299999999999997,0.994781605261008,-0.1020272406484279,0.3331668974391997,11.825847164192412,0,0,1,0.9659258262890684,-0.2588190451025206,0.9111686353326632,-0.4120336369594263,0.8660254037844387,-0.4999999999999998,0.9588014981273408,0.0481481481481481,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-26 08:00:00,62.9,65.7,57.0,37.5,26.0,850.0,Hà Nội,25.0,88.679565,7.415038,95.572105,0.0,1012.3394,99.0,3,57,179,4,8,6,1,116,Xuân,76.8,117.8,87.5,118.7,119.7,96.16666666666669,83.72916666666667,85.44166666666666,57.3,10.4,44.9,31.4,42.7,66.8,22.672244411764343,96.33333333333331,17.788266476595723,24.98812725322164,46.94652261792661,64.02559523809524,38.04134371941773,47.4,119.7,-13.9,-54.9,-56.8,1.1485444140333416,0.9799570857310056,52.75714285714285,44.9,34.20038289955524,10.4,119.7,1.1922556187381534,-3.899999999999999,0.9952747912004948,-0.0970983522044109,0.8394145570153003,10.53822513932795,0,0,1,0.8660254037844387,-0.4999999999999998,0.9111686353326632,-0.4120336369594263,0.8660254037844387,-0.4999999999999998,0.9573820395738204,0.0441176470588235,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-26 09:00:00,47.3,50.5,93.0,28.0,25.4,716.0,Hà Nội,26.2,80.60466,7.968939,108.43504,0.0,1012.544,87.0,3,57,179,4,9,6,1,116,Xuân,62.9,119.7,95.5,116.2,81.5,88.13333333333334,82.30416666666666,85.9125,48.1,13.4,54.7,33.9,41.3,63.8,30.23393237186906,90.59166666666664,21.520876052349195,26.072415527704443,46.38041092536413,63.92738095238096,38.06322301635677,47.3,119.7,-15.6,-72.4,-34.2,1.0708246848579963,0.9579999030020856,45.74285714285714,47.3,20.70763604268219,13.4,81.5,1.0340412242348531,-16.5,0.948682794823352,-0.3162292756943193,1.5456028134426003,8.987089777285808,0,0,0,0.7071067811865476,-0.7071067811865475,0.9111686353326632,-0.4120336369594263,0.8660254037844387,-0.4999999999999998,0.9366336633663366,0.0391061452513966,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-26 10:00:00,35.0,39.0,125.0,19.8,23.9,608.0,Hà Nội,27.6,68.99815,9.807935,132.76881,0.0,1012.1498,73.0,3,57,179,4,10,6,1,116,Xuân,47.3,76.8,104.3,109.2,70.1,76.58333333333333,80.84166666666665,86.19861111111112,43.0,14.4,64.5,37.7,43.8,62.2,35.5860319039186,84.40833333333333,25.90189387015155,27.71919624700033,45.99498898932716,63.76547619047619,38.12840735824224,35.0,119.7,-12.299999999999995,-41.8,-35.099999999999994,0.9473250180393776,0.9378534714725356,44.07142857142857,43.0,18.705232270295767,14.4,70.1,0.7941653160453809,-27.200000000000003,0.734099622004581,-0.6790417844085379,3.0406412967975007,6.384027106010537,0,0,0,0.4999999999999999,-0.8660254037844387,0.9111686353326632,-0.4120336369594263,0.8660254037844387,-0.4999999999999998,0.8974358974358975,0.0325657894736842,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-26 11:00:00,28.0,32.2,149.0,13.8,20.3,556.0,Hà Nội,28.6,65.09274,10.656547,142.54935,0.0,1011.4544,91.0,3,57,179,4,11,6,1,116,Xuân,35.0,62.9,117.8,96.6,57.6,61.61666666666667,79.60833333333333,86.40555555555555,39.3,13.1,75.2,45.4,45.2,57.6,33.61353398062544,78.69166666666666,30.182910828159205,29.405484798450274,45.69400024994466,63.58928571428572,38.225335730406535,28.0,119.7,-7.0,-34.9,-29.6,0.7739976970585156,0.9213335047900728,43.39999999999999,45.2,19.967390081497047,13.1,75.2,0.6451612903225807,-29.6,0.6080778721938188,-0.7938773843284854,3.719908568312199,5.584221467987047,0,0,0,0.258819045102521,-0.9659258262890682,0.9111686353326632,-0.4120336369594263,0.8660254037844387,-0.4999999999999998,0.8695652173913043,0.024820143884892,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-26 12:00:00,27.8,32.4,169.0,9.1,15.8,530.0,Hà Nội,29.45,60.09558,12.156331,152.6762,0.0,1010.4587,100.0,3,57,179,4,12,6,1,116,Xuân,28.0,47.3,119.7,86.1,49.1,46.3,78.72083333333332,86.60694444444444,38.4,13.3,83.6,53.0,49.4,55.4,20.05811556452754,73.83333333333333,33.402404195815365,30.660936472363723,45.398257478469134,63.425,38.31993547867488,27.8,119.7,-0.1999999999999993,-19.5,-21.3,0.5881543428783149,0.9089436631011754,44.94285714285714,49.1,22.114840955254245,13.3,83.6,0.6185632549268913,-27.6,0.4590186361609803,-0.8884266383089341,4.8509133788302,4.567806936447555,0,0,0,1.2246467991473532e-16,-1.0,0.9111686353326632,-0.4120336369594263,0.8660254037844387,-0.4999999999999998,0.8580246913580247,0.0171698113207547,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-26 13:00:00,28.8,33.3,181.0,6.6,13.0,527.0,Hà Nội,28.55,59.88949,8.738811,147.61934,0.0,1010.25543,100.0,3,57,179,4,13,6,1,116,Xuân,27.8,35.0,76.8,83.4,47.4,38.3,77.94583333333334,86.80416666666667,36.9,14.6,86.8,56.5,52.4,57.9,14.167850930889788,69.28333333333333,35.625548374301935,31.704354099091567,45.11096939613642,63.25178571428571,38.41072076707242,27.8,119.7,1.0,-6.199999999999999,-18.6,0.4913668680173197,0.8979503672058753,46.2,47.4,23.029473868646384,14.6,86.8,0.6233766233766235,-29.1,0.5355417643731221,-0.8445087439524374,3.5051816600360994,6.149568977157479,0,0,0,-0.2588190451025208,-0.9659258262890684,0.9111686353326632,-0.4120336369594263,0.8660254037844387,-0.4999999999999998,0.8648648648648649,0.0125237191650853,0.238732414637843,0.7257465404990427,0.5697746962689852
2026-04-26 14:00:00,33.9,38.4,182.0,6.8,13.2,558.0,Hà Nội,28.85,60.70307,9.840914,129.80553,0.0,1008.7585,100.0,3,57,179,4,14,6,1,116,Xuân,28.8,28.0,62.9,87.5,49.5,33.46666666666666,77.29583333333333,87.04444444444444,34.5,16.6,88.7,59.3,55.5,60.1,7.452158523982484,64.81666666666668,36.4837406707889,32.46372529678212,44.77660319913973,63.09583333333334,38.47672498756162,27.8,119.7,5.099999999999998,5.899999999999999,-15.6,0.4329685731227426,0.8880042124074548,48.285714285714285,49.5,23.12692720412208,16.6,88.7,0.7020710059171598,-26.200000000000003,0.7682217387344367,-0.6401838486996051,3.8671770859402,5.599442076562917,0,0,0,-0.4999999999999997,-0.8660254037844388,0.9111686353326632,-0.4120336369594263,0.8660254037844387,-0.4999999999999998,0.8828125,0.0121863799283154,0.238732414637843,0.7257465404990427,0.5697746962689852
